tech_skills,soft_skills,education_cgpa,sector_to_work,job_location
Web Development|Machine Learning|AI,Communication|Leadership,8.19,Data Science,Vasai-Virar
IoT|HTML,Leadership|Time Management,8.67,Web Development,Surat
Machine Learning|CSS|HTML|Data Analysis,Communication,9.27,Marketing,Delhi
HTML|Data Analysis,Communication|Time Management|Adaptability,8.17,Finance,Pimpri-Chinchwad
IoT|AI,Adaptability,,Marketing,Agra
Java|JavaScript|Web Development,Creativity|Adaptability|Leadership,8.12,Marketing,Vadodara
Web Development|C++,Leadership|Communication,6.92,IT,Ahmedabad
AI|Java|HTML,Communication,,Data Science,Agra
Web Development|Data Analysis|IoT|JavaScript,Time Management|Teamwork,9.36,Web Development,Delhi
CSS,Time Management|Problem Solving,7.37,Finance,Pune
HTML|Python|IoT|CSS,Creativity|Problem Solving,6.48,Finance,Hyderabad
C++|JavaScript|Data Analysis|AI,Teamwork|Problem Solving|Creativity,,Marketing,Vasai-Virar
CSS|C++|Java|AI,Adaptability|Teamwork,8.73,AI/ML,Thane
JavaScript,Creativity|Teamwork,9.59,IT,Lucknow
HTML|Machine Learning,Problem Solving,9.7,Data Science,Delhi
CSS|HTML|Web Development,Communication|Creativity,7.18,IT,Ghaziabad
HTML|IoT|Python|Data Analysis,Adaptability|Time Management,,AI/ML,Ahmedabad
IoT,Communication,8.76,Marketing,Surat
AI,Adaptability|Time Management|Communication,7.98,AI/ML,Bhopal
C++|CSS,Problem Solving|Adaptability|Teamwork,9.11,Data Science,Hyderabad
Python|Web Development|Machine Learning|Data Analysis,Adaptability|Creativity,8.77,Marketing,Delhi
CSS,Problem Solving|Teamwork|Communication,9.85,IT,Lucknow
CSS|JavaScript,Problem Solving|Creativity,6.79,AI/ML,Mumbai
AI|C++,Teamwork|Adaptability,8.01,IT,Kalyan-Dombivli
Machine Learning,Creativity|Communication,7.62,Finance,Vadodara
IoT,Time Management,9.22,Marketing,Agra
JavaScript|HTML|CSS|Machine Learning,Time Management,9.82,Finance,Ahmedabad
Machine Learning,Leadership|Time Management,7.17,IT,Agra
Web Development|CSS|C++|AI,Problem Solving,7.81,Finance,Ghaziabad
Machine Learning|Java|IoT|AI,Creativity|Leadership,8.14,AI/ML,Rajkot
CSS|C++|IoT|Python,Creativity|Adaptability|Teamwork,8.74,Business Development,Ludhiana
C++|IoT|HTML,Communication,9.94,Finance,Delhi
C++|AI|Data Analysis,Adaptability|Creativity|Problem Solving,9.07,Marketing,Ghaziabad
CSS|IoT|Data Analysis|JavaScript,Communication|Teamwork|Problem Solving,7.15,Data Science,Kanpur
IoT|Web Development,Time Management|Leadership,9.25,IT,Kalyan-Dombivli
Python,Creativity|Problem Solving|Adaptability,,AI/ML,Lucknow
Machine Learning|JavaScript|AI|C++,Problem Solving|Communication,9.66,AI/ML,Agra
AI,Leadership|Communication,9.02,AI/ML,Hyderabad
CSS|Data Analysis|Web Development,Time Management|Creativity,7.02,IT,Pune
C++|Java,Communication,9.36,IT,Vasai-Virar
Data Analysis|Java,Leadership,7.96,Finance,Indore
CSS|HTML,Teamwork,,Business Development,Patna
JavaScript,Teamwork|Problem Solving,9.34,Finance,Thane
AI|JavaScript,Creativity,6.39,Finance,Nagpur
AI,Leadership|Time Management,8.08,Marketing,Surat
IoT|Machine Learning,Problem Solving|Communication,8.89,Marketing,Ludhiana
Web Development|Machine Learning|CSS|IoT,Creativity,7.8,Finance,Kanpur
CSS|C++|Java|AI,Communication|Problem Solving|Leadership,8.14,AI/ML,Bhopal
Web Development|Machine Learning|Python,Time Management,,Data Science,Pimpri-Chinchwad
Data Analysis|Web Development|IoT,Adaptability,7.57,Web Development,Visakhapatnam
Python|JavaScript,Time Management,,Business Development,Rajkot
Web Development|Machine Learning|HTML,Teamwork|Time Management,,Finance,Bhopal
Machine Learning|AI|Data Analysis,Communication,8.1,AI/ML,Mumbai
Machine Learning,Creativity|Teamwork|Problem Solving,8.03,Data Science,Kanpur
Python|IoT|C++|JavaScript,Problem Solving,8.53,Marketing,Ghaziabad
Data Analysis|C++|Java,Time Management,7.67,IT,Mumbai
AI|C++|CSS,Time Management|Communication|Problem Solving,8.63,Business Development,Agra
AI|CSS,Creativity|Teamwork,6.94,Web Development,Ahmedabad
IoT|Python|HTML|CSS,Leadership|Teamwork|Creativity,9.41,Marketing,Visakhapatnam
Data Analysis,Leadership|Teamwork|Adaptability,8.53,Web Development,Indore
AI,Teamwork|Time Management,6.53,Marketing,Bhopal
Data Analysis,Teamwork|Problem Solving|Adaptability,,IT,Nashik
IoT|Python|Web Development|Data Analysis,Creativity|Adaptability,7.96,IT,Varanasi
Data Analysis|Python,Teamwork|Leadership,8.5,Business Development,Mumbai
Data Analysis|JavaScript,Leadership|Creativity,8.53,Data Science,Indore
CSS|Web Development|HTML|IoT,Problem Solving|Leadership|Time Management,9.7,Data Science,Vadodara
HTML,Leadership|Time Management,,Marketing,Delhi
Data Analysis|JavaScript|Web Development,Problem Solving,9.31,Web Development,Varanasi
Machine Learning|Data Analysis|Web Development,Leadership|Communication,6.41,Business Development,Patna
JavaScript|IoT|CSS|Java,Creativity,,Business Development,Kalyan-Dombivli
JavaScript|Python|IoT,Creativity|Leadership,,Finance,Bengaluru
C++|Machine Learning|Web Development|IoT,Creativity|Problem Solving,,AI/ML,Jaipur
JavaScript|CSS|Machine Learning|Data Analysis,Communication,7.53,Business Development,Vasai-Virar
HTML|Data Analysis,Time Management|Adaptability|Creativity,8.86,Web Development,Meerut
Java,Creativity|Problem Solving|Teamwork,9.32,Web Development,Kolkata
