title,company,type,posted_on,cities,start_date,duration_months,stipend,apply_by
Business Development,Patla-Cheema,Remote,04-08-2026,"Hyderabad,Delhi,Chennai",Immediately,4,15000,19-08-2026
Marketing,Bera-Chaudhary,Remote,14-03-2026,"Ahmedabad,Hyderabad",Immediately,3,15000,22-04-2026
Data Analyst,"Ramanathan, Konda and Buch",Remote,12-07-2026,"Delhi,Jaipur,Ahmedabad,Mumbai",Immediately,4,15000,19-08-2026
Web Developer,Dash-Wali,Part Time,24-07-2026,"Pune,Hyderabad,Mumbai",08-08-2026,5,10000,11-09-2026
Business Development,Bains-Oommen,Full Time,02-04-2026,"Bengaluru,Jaipur,Mumbai",10-04-2026,5,10000,22-05-2026
Marketing,"Datta, Din and Pingle",Part Time,12-06-2026,Mumbai,08-07-2026,2,0,07-08-2026
Content Writing,Thakkar LLC,Remote,04-04-2026,Lucknow,19-04-2026,4,10000,08-05-2026
AI/ML Intern,Kannan LLC,Part Time,19-03-2026,"Hyderabad,Pune,Chennai",18-04-2026,1,5000,12-05-2026
Marketing,Hans-Bumb,Remote,03-01-2026,"Bengaluru,Hyderabad,Jaipur,Ahmedabad",Immediately,4,10000,09-02-2026
Content Writing,Bhatia-Dugar,Full Time,14-03-2026,"Delhi,Bengaluru,Jaipur",22-03-2026,5,5000,21-04-2026
Marketing,Dani and Sons,Part Time,23-08-2026,"Kolkata,Mumbai",10-09-2026,3,15000,10-09-2026
Marketing,"Dixit, Samra and Cheema",Part Time,22-05-2026,"Lucknow,Kolkata,Jaipur,Ahmedabad",Immediately,6,0,14-07-2026
Web Developer,Kara-Jain,Full Time,07-04-2026,"Chennai,Delhi,Kolkata",03-05-2026,2,0,30-04-2026
Content Writing,Menon-Ram,Part Time,28-01-2026,"Hyderabad,Bengaluru",05-02-2026,6,10000,09-03-2026
Content Writing,"Bhatt, Majumdar and Sagar",Part Time,30-06-2026,"Pune,Kolkata",22-07-2026,8,5000,19-08-2026
Content Writing,Lanka and Sons,Remote,17-06-2026,Lucknow,27-06-2026,4,5000,16-08-2026
Content Writing,"Sehgal, Dora and Ravi",Full Time,25-05-2026,Mumbai,12-06-2026,11,15000,13-06-2026
Content Writing,Karpe and Sons,Part Time,24-05-2026,"Kolkata,Pune",Immediately,1,0,05-07-2026
AI/ML Intern,"Tara, Dixit and Bajaj",Part Time,10-03-2026,"Chennai,Bengaluru,Jaipur",Immediately,9,0,28-04-2026
Web Developer,Pant-Sanghvi,Part Time,18-08-2026,"Lucknow,Delhi,Chennai",05-09-2026,2,5000,21-09-2026
Content Writing,Hayer Inc,Remote,01-01-2026,Kolkata,15-01-2026,3,10000,10-02-2026
Content Writing,Rajagopalan-Pant,Part Time,08-07-2026,"Lucknow,Delhi,Hyderabad,Bengaluru",20-07-2026,10,0,06-08-2026
Marketing,"Kaur, Bawa and Shere",Part Time,04-01-2026,"Kolkata,Bengaluru,Delhi",14-01-2026,11,15000,01-03-2026
Data Analyst,"Chawla, Rao and Sidhu",Remote,05-01-2026,"Mumbai,Bengaluru",Immediately,12,15000,23-02-2026
Business Development,Khalsa LLC,Full Time,28-06-2026,Pune,Immediately,10,10000,11-08-2026
Content Writing,"Chakrabarti, Chad and Krishnan",Full Time,20-01-2026,"Jaipur,Ahmedabad",19-02-2026,2,15000,17-02-2026
AI/ML Intern,"Dhar, Sanghvi and Sankaran",Remote,04-03-2026,"Chennai,Pune",Immediately,2,15000,24-03-2026
Content Writing,Sarna-Date,Part Time,02-07-2026,"Mumbai,Bengaluru",Immediately,9,15000,17-08-2026
Marketing,Dey-Hayer,Part Time,14-07-2026,"Mumbai,Hyderabad",13-08-2026,12,0,09-08-2026
Business Development,Deshpande and Sons,Full Time,05-06-2026,"Hyderabad,Mumbai",25-06-2026,7,15000,04-07-2026
Marketing,"Dalal, Issac and Rege",Full Time,08-02-2026,"Jaipur,Chennai,Mumbai,Pune",Immediately,11,10000,28-02-2026
Marketing,"Sur, Dara and Radhakrishnan",Remote,28-03-2026,"Hyderabad,Jaipur,Chennai,Ahmedabad",13-04-2026,3,10000,29-04-2026
Business Development,Swamy Group,Remote,18-01-2026,"Pune,Mumbai,Jaipur",Immediately,6,15000,17-02-2026
AI/ML Intern,Cherian-Verma,Full Time,31-08-2026,Ahmedabad,Immediately,3,5000,04-10-2026
Content Writing,"Kar, Trivedi and Walla",Full Time,17-01-2026,Delhi,Immediately,4,15000,05-02-2026
Web Developer,Reddy Ltd,Full Time,11-08-2026,"Chennai,Ahmedabad,Lucknow,Bengaluru",Immediately,2,10000,10-09-2026
Content Writing,Chaudhuri Inc,Full Time,01-06-2026,"Lucknow,Jaipur",Immediately,9,15000,20-06-2026
Business Development,Shankar and Sons,Full Time,08-08-2026,"Ahmedabad,Hyderabad",06-09-2026,7,5000,16-09-2026
Marketing,Agate Ltd,Full Time,12-04-2026,"Chennai,Hyderabad",02-05-2026,12,5000,08-06-2026
AI/ML Intern,Gade Group,Part Time,26-04-2026,Bengaluru,12-05-2026,8,15000,27-05-2026
Web Developer,"Luthra, Soman and Palan",Part Time,02-08-2026,"Delhi,Hyderabad",Immediately,4,5000,20-09-2026
Data Analyst,"Reddy, Bhatia and Ray",Part Time,16-08-2026,"Chennai,Jaipur,Ahmedabad,Delhi",Immediately,5,15000,08-10-2026
Marketing,"Jain, Deo and Grover",Part Time,06-07-2026,"Mumbai,Lucknow",Immediately,9,5000,26-08-2026
AI/ML Intern,"Mohanty, Agate and Devan",Full Time,12-07-2026,"Jaipur,Lucknow,Chennai",Immediately,2,5000,04-08-2026
Marketing,Rastogi Ltd,Full Time,29-04-2026,"Kolkata,Mumbai",19-05-2026,5,5000,02-06-2026
Data Analyst,"Korpal, Kant and Savant",Part Time,22-07-2026,"Bengaluru,Hyderabad,Lucknow,Ahmedabad",10-08-2026,12,15000,09-09-2026
Web Developer,Gala Group,Remote,23-08-2026,Lucknow,21-09-2026,11,15000,23-09-2026
Web Developer,Varty Inc,Part Time,18-04-2026,"Bengaluru,Kolkata",Immediately,10,0,26-05-2026
Business Development,"Bajwa, Kapadia and Lanka",Remote,23-01-2026,"Pune,Delhi,Jaipur,Ahmedabad",Immediately,8,15000,19-02-2026
Content Writing,"Grover, Sane and Vig",Remote,02-03-2026,Bengaluru,Immediately,8,15000,25-03-2026
Marketing,"Sathe, Kothari and Walla",Part Time,23-07-2026,"Mumbai,Pune,Jaipur,Kolkata",Immediately,7,5000,23-08-2026
AI/ML Intern,Lanka LLC,Part Time,09-08-2026,"Kolkata,Lucknow,Mumbai,Bengaluru",Immediately,11,5000,17-09-2026
AI/ML Intern,Bhatia-Sachdeva,Remote,21-01-2026,"Jaipur,Pune,Chennai,Bengaluru",04-02-2026,2,0,28-02-2026
Web Developer,Wable-Chokshi,Full Time,24-01-2026,Chennai,06-02-2026,10,10000,07-03-2026
AI/ML Intern,"Hayre, Bains and Rajagopal",Part Time,22-05-2026,Lucknow,Immediately,12,0,21-07-2026
AI/ML Intern,"Chad, Bhattacharyya and Mitter",Full Time,18-05-2026,"Chennai,Bengaluru,Hyderabad,Kolkata",Immediately,3,5000,19-06-2026
Content Writing,"Lata, Dhillon and Tata",Remote,02-07-2026,"Jaipur,Hyderabad,Ahmedabad",Immediately,3,15000,30-08-2026
Data Analyst,Dhillon Ltd,Remote,10-03-2026,Mumbai,01-04-2026,8,5000,27-03-2026
AI/ML Intern,"Bali, Sabharwal and Palla",Full Time,28-02-2026,"Jaipur,Kolkata,Pune,Chennai",15-03-2026,7,0,02-04-2026
Marketing,"Bhatnagar, Som and Biswas",Remote,30-04-2026,"Ahmedabad,Delhi,Mumbai,Lucknow",Immediately,7,0,31-05-2026
Web Developer,Hari-Jani,Remote,27-07-2026,Chennai,19-08-2026,11,5000,20-08-2026
Marketing,"Bhatia, Khare and Goel",Remote,23-04-2026,"Chennai,Hyderabad",04-05-2026,2,5000,13-06-2026
Marketing,Dar-Gara,Remote,22-02-2026,Mumbai,04-03-2026,5,5000,18-03-2026
Web Developer,Saha Inc,Full Time,29-05-2026,"Chennai,Delhi,Pune,Lucknow",Immediately,7,15000,14-06-2026
AI/ML Intern,Chana-Kunda,Part Time,20-03-2026,Hyderabad,28-03-2026,12,15000,11-05-2026
Data Analyst,Mander-Ahluwalia,Remote,02-05-2026,"Chennai,Mumbai,Hyderabad,Kolkata",Immediately,3,15000,13-06-2026
Web Developer,Deshpande-Nagar,Full Time,29-04-2026,"Bengaluru,Pune",20-05-2026,10,0,28-05-2026
Business Development,"Chopra, Upadhyay and Hayre",Remote,18-05-2026,"Pune,Hyderabad,Kolkata,Lucknow",08-06-2026,7,15000,04-07-2026
Data Analyst,Mannan Inc,Part Time,09-07-2026,"Hyderabad,Bengaluru",Immediately,7,5000,24-08-2026
Business Development,Mukherjee-Tak,Part Time,28-04-2026,Lucknow,Immediately,5,10000,22-05-2026
Marketing,"Sandal, Pradhan and Sen",Remote,28-04-2026,"Kolkata,Mumbai,Jaipur,Chennai",14-05-2026,7,0,16-06-2026
Web Developer,"Raja, Patla and Hari",Part Time,22-03-2026,Mumbai,18-04-2026,6,10000,07-04-2026
Content Writing,Kumar-Natt,Remote,22-03-2026,Lucknow,Immediately,2,5000,06-04-2026
Business Development,Nadig-Mander,Full Time,18-08-2026,"Ahmedabad,Mumbai,Hyderabad",Immediately,2,15000,03-10-2026
Business Development,Sengupta LLC,Remote,27-03-2026,"Mumbai,Pune,Lucknow",17-04-2026,11,10000,12-05-2026
Data Analyst,"Soman, Shroff and Hegde",Full Time,22-08-2026,"Delhi,Kolkata",Immediately,6,5000,01-10-2026
Business Development,Brar Inc,Remote,11-05-2026,"Pune,Kolkata,Lucknow",Immediately,12,5000,09-06-2026
Web Developer,Behl Ltd,Remote,17-06-2026,"Jaipur,Pune,Kolkata,Lucknow",09-07-2026,11,0,09-07-2026
AI/ML Intern,"Apte, Dara and Sama",Remote,09-07-2026,Kolkata,Immediately,2,0,06-09-2026
Marketing,"Butala, Palla and Sandal",Remote,18-02-2026,"Pune,Lucknow",Immediately,5,5000,04-04-2026
Business Development,Srinivasan Ltd,Full Time,29-03-2026,"Pune,Jaipur",Immediately,12,10000,02-05-2026
Content Writing,"Goda, Jain and Chopra",Full Time,12-06-2026,Bengaluru,Immediately,9,0,29-06-2026
Data Analyst,Nadkarni-Nazareth,Remote,06-01-2026,"Bengaluru,Ahmedabad,Kolkata",14-01-2026,7,15000,24-02-2026
Marketing,Gupta Ltd,Remote,26-02-2026,"Mumbai,Jaipur,Delhi,Ahmedabad",05-03-2026,12,15000,12-04-2026
AI/ML Intern,"Date, Badami and Thaker",Full Time,18-05-2026,"Jaipur,Hyderabad,Delhi",Immediately,8,15000,06-06-2026
Web Developer,Ray Inc,Full Time,17-08-2026,"Pune,Bengaluru,Lucknow",Immediately,2,10000,11-09-2026
Data Analyst,Menon-Iyengar,Full Time,01-07-2026,"Kolkata,Hyderabad,Mumbai",13-07-2026,9,5000,23-08-2026
AI/ML Intern,Kale PLC,Part Time,07-05-2026,Ahmedabad,29-05-2026,2,15000,06-07-2026
Business Development,Basu PLC,Part Time,06-03-2026,"Lucknow,Delhi,Bengaluru,Mumbai",Immediately,11,5000,03-04-2026
Marketing,Sachar and Sons,Remote,16-03-2026,"Hyderabad,Pune,Ahmedabad,Delhi",12-04-2026,4,15000,15-05-2026
Content Writing,Dar Group,Remote,02-01-2026,"Ahmedabad,Lucknow",29-01-2026,9,0,26-02-2026
Marketing,"Varma, Kata and Mitra",Part Time,31-01-2026,"Mumbai,Jaipur,Delhi",15-02-2026,11,0,19-03-2026
Business Development,"Khanna, Bala and Narula",Remote,15-04-2026,"Kolkata,Pune,Mumbai,Hyderabad",03-05-2026,11,15000,10-06-2026
Marketing,Maharaj Inc,Full Time,14-03-2026,"Delhi,Mumbai,Chennai",04-04-2026,7,10000,24-04-2026
AI/ML Intern,"Walla, Subramanian and Vasa",Remote,27-08-2026,"Bengaluru,Chennai",15-09-2026,10,15000,12-09-2026
Marketing,Rana LLC,Part Time,16-01-2026,"Lucknow,Mumbai,Bengaluru",02-02-2026,5,10000,31-01-2026
Business Development,Sura and Sons,Part Time,14-05-2026,Chennai,Immediately,7,10000,14-06-2026
Content Writing,Gupta Group,Part Time,25-04-2026,"Lucknow,Delhi,Mumbai,Chennai",08-05-2026,12,15000,02-06-2026
Business Development,Bhattacharyya and Sons,Full Time,17-08-2026,"Hyderabad,Lucknow",Immediately,6,5000,09-10-2026
Content Writing,"Raghavan, Nair and Yogi",Part Time,28-01-2026,"Lucknow,Delhi,Kolkata",Immediately,6,0,24-02-2026
Business Development,Munshi and Sons,Part Time,15-05-2026,"Hyderabad,Mumbai",Immediately,2,5000,20-06-2026
Business Development,"Chaudry, Palla and Manda",Remote,28-04-2026,Kolkata,Immediately,11,10000,04-06-2026
Data Analyst,"De, Balakrishnan and Bansal",Part Time,20-01-2026,"Mumbai,Bengaluru",Immediately,2,15000,07-03-2026
Content Writing,Koshy Inc,Full Time,14-08-2026,"Delhi,Lucknow,Kolkata",25-08-2026,3,5000,04-10-2026
Business Development,Barad-Sankar,Full Time,22-01-2026,Delhi,03-02-2026,2,0,25-02-2026
Data Analyst,Sagar-Pal,Part Time,11-08-2026,"Kolkata,Chennai,Jaipur,Hyderabad",30-08-2026,9,0,26-09-2026
Data Analyst,"Seshadri, Viswanathan and Pal",Part Time,18-04-2026,"Chennai,Pune,Bengaluru,Mumbai",01-05-2026,7,0,15-05-2026
Content Writing,"Mand, Manne and Bala",Full Time,20-04-2026,Chennai,02-05-2026,8,15000,06-06-2026
Business Development,"Gandhi, Deol and Lad",Part Time,29-03-2026,Jaipur,Immediately,4,0,21-04-2026
Web Developer,Srinivas-Setty,Full Time,26-08-2026,"Bengaluru,Jaipur,Chennai",21-09-2026,9,0,10-09-2026
AI/ML Intern,Gara-Bala,Part Time,29-03-2026,"Mumbai,Hyderabad",Immediately,6,5000,29-04-2026
Marketing,Barad-Chahal,Remote,28-02-2026,Kolkata,08-03-2026,7,5000,15-04-2026
Data Analyst,Dixit-Toor,Part Time,30-01-2026,Delhi,18-02-2026,12,10000,18-02-2026
AI/ML Intern,"Wable, Kapoor and Chhabra",Full Time,18-01-2026,"Pune,Ahmedabad,Hyderabad,Jaipur",10-02-2026,12,0,09-02-2026
Web Developer,Apte-Bandi,Part Time,15-01-2026,Lucknow,Immediately,7,0,14-02-2026
Content Writing,Ram Ltd,Remote,17-05-2026,"Lucknow,Hyderabad,Mumbai",16-06-2026,11,15000,15-06-2026
AI/ML Intern,Dugal-Kibe,Full Time,06-06-2026,"Delhi,Lucknow,Bengaluru,Ahmedabad",Immediately,10,10000,13-07-2026
Content Writing,Desai and Sons,Remote,11-04-2026,"Delhi,Lucknow,Pune",Immediately,11,5000,04-06-2026
Business Development,Merchant Group,Full Time,21-08-2026,"Bengaluru,Lucknow,Chennai",Immediately,7,15000,17-09-2026
Business Development,"Mannan, Sundaram and Kapadia",Full Time,08-05-2026,"Mumbai,Ahmedabad,Lucknow",07-06-2026,11,0,15-06-2026
Data Analyst,Aurora LLC,Remote,06-02-2026,"Delhi,Ahmedabad,Kolkata",Immediately,3,5000,13-03-2026
AI/ML Intern,Kothari-Gulati,Full Time,05-03-2026,Chennai,22-03-2026,8,5000,20-03-2026
Web Developer,"Patla, Kant and Narayan",Remote,09-03-2026,"Chennai,Hyderabad",Immediately,10,0,09-04-2026
Marketing,"Sagar, Keer and Mander",Full Time,05-05-2026,"Ahmedabad,Mumbai",Immediately,2,0,21-06-2026
Content Writing,Kibe-Sekhon,Part Time,06-04-2026,"Bengaluru,Delhi,Hyderabad",24-04-2026,5,15000,27-05-2026
Marketing,Dara and Sons,Part Time,17-07-2026,Jaipur,Immediately,1,10000,27-08-2026
Content Writing,"Buch, Sekhon and Raj",Remote,22-04-2026,"Kolkata,Lucknow,Hyderabad",Immediately,9,15000,12-05-2026
Web Developer,Dalal PLC,Part Time,15-05-2026,"Jaipur,Mumbai,Ahmedabad",Immediately,12,0,10-07-2026
AI/ML Intern,Deshmukh Inc,Part Time,15-05-2026,"Chennai,Hyderabad,Bengaluru,Mumbai",11-06-2026,10,5000,27-06-2026
AI/ML Intern,"Butala, Jaggi and Madan",Part Time,30-04-2026,"Bengaluru,Delhi,Kolkata,Jaipur",10-05-2026,2,0,03-06-2026
Content Writing,"Yohannan, Lad and Mahajan",Full Time,08-01-2026,"Bengaluru,Chennai,Jaipur,Mumbai",28-01-2026,1,10000,23-01-2026
Business Development,"Chakrabarti, Shan and Bhakta",Part Time,22-08-2026,"Jaipur,Mumbai,Ahmedabad,Chennai",06-09-2026,11,5000,09-10-2026
Marketing,Yogi and Sons,Remote,23-01-2026,"Jaipur,Bengaluru,Delhi",Immediately,10,10000,25-02-2026
Content Writing,"Pal, Prabhu and Narayan",Full Time,19-01-2026,"Chennai,Ahmedabad",Immediately,8,5000,26-02-2026
Content Writing,Bassi-Ranganathan,Part Time,07-07-2026,Hyderabad,Immediately,4,15000,17-08-2026
Content Writing,Wagle Group,Full Time,25-01-2026,Pune,Immediately,6,15000,16-03-2026
Data Analyst,"Wadhwa, Goel and Dass",Remote,12-07-2026,"Pune,Mumbai,Kolkata",06-08-2026,4,0,15-08-2026
Content Writing,Lata and Sons,Part Time,22-02-2026,"Bengaluru,Ahmedabad,Kolkata",Immediately,1,0,19-03-2026
Content Writing,Naik-Aggarwal,Full Time,25-04-2026,"Kolkata,Bengaluru,Mumbai",Immediately,2,10000,16-06-2026
Marketing,Kannan-Prashad,Remote,26-06-2026,Pune,Immediately,7,0,14-08-2026
Data Analyst,Sani PLC,Full Time,23-06-2026,"Mumbai,Lucknow,Kolkata,Jaipur",Immediately,1,15000,01-08-2026
Web Developer,Setty Ltd,Remote,16-06-2026,"Pune,Bengaluru,Kolkata",Immediately,8,0,14-08-2026
Marketing,"Chaudhry, Kurian and Desai",Remote,21-02-2026,"Ahmedabad,Hyderabad",Immediately,12,5000,06-04-2026
Data Analyst,Char Ltd,Full Time,04-08-2026,"Delhi,Hyderabad,Ahmedabad,Jaipur",11-08-2026,7,15000,02-09-2026
AI/ML Intern,Sama PLC,Part Time,26-02-2026,"Ahmedabad,Lucknow",23-03-2026,4,0,15-03-2026
Data Analyst,"Pillai, Bhakta and Banik",Part Time,01-02-2026,"Mumbai,Lucknow",Immediately,11,10000,04-03-2026
Web Developer,Vig and Sons,Part Time,02-02-2026,"Ahmedabad,Kolkata,Delhi,Jaipur",Immediately,10,5000,19-02-2026
AI/ML Intern,"Narula, Dua and Thaker",Part Time,18-08-2026,"Delhi,Lucknow,Pune",16-09-2026,12,10000,07-10-2026
Marketing,Luthra-Kanda,Part Time,07-03-2026,Pune,Immediately,9,10000,17-04-2026
Business Development,"Krishna, Hora and Gola",Part Time,26-07-2026,"Mumbai,Kolkata,Delhi",09-08-2026,6,0,25-08-2026
Business Development,Swamy-Subramaniam,Part Time,15-02-2026,"Hyderabad,Kolkata,Jaipur,Mumbai",Immediately,10,10000,15-04-2026
Content Writing,Parmar-Prashad,Full Time,07-06-2026,"Mumbai,Jaipur,Lucknow",20-06-2026,8,15000,15-07-2026
Marketing,"Kamdar, Goyal and Chaudhry",Remote,27-07-2026,Delhi,09-08-2026,3,10000,22-08-2026
Content Writing,"Ganesh, Parmar and Bhavsar",Remote,13-05-2026,Hyderabad,Immediately,10,5000,12-06-2026
Data Analyst,Ram-Bhalla,Remote,15-07-2026,"Bengaluru,Mumbai,Chennai",Immediately,3,5000,19-08-2026
Business Development,Mand-Jaggi,Part Time,31-07-2026,"Lucknow,Chennai,Kolkata,Hyderabad",09-08-2026,5,10000,29-09-2026
